id	char
1727	碗
1728	碟
1729	碧
1730	碰
1731	磕
1732	磨
1733	示
1734	礼
1735	社
1736	祖
1737	祝
1738	神
1739	祥
1740	票
1741	祸
1742	禀
1743	禁
1744	福
1745	离
1746	秀
1747	私
1748	秋
1749	种
1750	科
1751	秒
1752	秘
1753	租
1754	秧
1755	积
1756	称
1757	移
1758	稀
1759	程
1760	稍
1761	稚
1762	稣
1763	稳
1764	稽
1765	究
1766	穷
1767	空
1768	穿
1769	突
1770	窃
1771	窗
1772	窝
1773	立
1774	站
1775	竞
1776	竟
1777	章
1778	童
1779	竭
1780	端
1781	竹
1782	笃
1783	笑
1784	笔
1785	符
1786	笨
1787	第
1788	笼
1789	等
1790	筋
1791	筑
1792	答
1793	策
1794	筝
1795	筷
1796	签
1797	简
1798	算
1799	管
1800	箭
1801	箱
1802	篡
1803	篮
1804	篷
1805	簸
1806	米
1807	类
1808	粉
1809	粒
1810	粗
1811	粘
1812	精
1813	糊
1814	糕
1815	糖
1816	糟
1817	系
1818	紅
1819	紊
1820	純
1821	素
1822	索
1823	紧
1824	紫
1825	累
1826	終
1827	給
1828	緩
1829	繁
1830	红
1831	约
1832	级
1833	纪
1834	纯
1835	纳
1836	纵
1837	纷
1838	纸
1839	纽
1840	线
1841	练
1842	组
1843	细
1844	织
1845	终
1846	绍
1847	经
1848	绑
1849	结
1850	绕
1851	绘
1852	给
1853	绛
1854	绝
1855	统
1856	继
1857	绪
1858	续
1859	维
1860	绷
1861	绸
1862	绽
1863	绿
1864	缀
1865	缓
1866	缔
1867	编
1868	缘
1869	缚
1870	缝
1871	缠
1872	缩
1873	缭
1874	缸
1875	缺
1876	罐
1877	网
1878	罗
1879	罢
1880	罩
1881	罪
1882	置
1883	羊
1884	美
1885	羔
1886	羞
1887	羡
1888	群
1889	翁
1890	翔
1891	翘
1892	翠
1893	翡
1894	翱
1895	翻
1896	耀
1897	老
1898	考
1899	者
1900	而
1901	耍
1902	耐
1903	耕
1904	耗
1905	耘
1906	耳
1907	耶
1908	耽
1909	聊
1910	聋
1911	职
1912	联
1913	聚
1914	聪
1915	聽
1916	肆
1917	肉
1918	肋
1919	肌
1920	肖
1921	肚
1922	股
1923	肢
1924	肤
1925	肥
1926	肩
1927	肮
1928	肯
1929	育
1930	肺
1931	肾
1932	胀
1933	胃
1934	胆
1935	背
1936	胖
1937	胜
1938	胞
1939	胡
1940	胳
1941	胶
1942	胸
1943	能
1944	脆
1945	脉
1946	脊
1947	脏
1948	脑
1949	脖
1950	脚
1951	脱
1952	脸
1953	脾
1954	腐
1955	腑
1956	腔
1957	腥
1958	腻
1959	腾
1960	腿
1961	膀
1962	膊
1963	膜
1964	膝
1965	膨
1966	膽
1967	臉
1968	臣
1969	自
1970	臭
1971	至
1972	致
1973	舅
1974	舌
1975	舍
1976	舒
1977	舔
1978	舞
1979	般
1980	舵
1981	艇
1982	良
1983	艰
1984	色
1985	艳
1986	艺
1987	艾
1988	节
1989	芒
1990	芬
1991	芭
1992	花
1993	芳
1994	苍
1995	苏
1996	苔
1997	苛
1998	苟
1999	若
2000	苦
2001	英
2002	苹
2003	茂
2004	范
2005	茄
2006	茅
2007	茫
2008	茶
2009	草
2010	荒
2011	荡
2012	荣
2013	药
2014	荷
2015	莉
2016	莓
2017	莫
2018	莱
2019	获
2020	菇
2021	菜
2022	菠
2023	菩
2024	萌
2025	萝
2026	萤
2027	营
2028	萧
2029	落
2030	著
2031	葛
2032	葬
2033	葱
2034	蒂
2035	蒙
2036	蓄
2037	蓝
2038	蓬
2039	蔚
2040	蔻
2041	蔽
2042	蕉
2043	薄
2044	藏
2045	蘑
2046	虎
2047	虐
2048	虑
